Format,Metric,Year,Value (Actual)
Other Tapes,Value,1973,15.6
LP/EP,Value,1973,1246.0
Cassette,Units,1973,15.0
8 - Track,Value,1973,489.0
Other Tapes,Value (Adjusted),1973,89.825432432
Cassette,Value,1973,76.0
Cassette,Value (Adjusted),1973,437.611081081
8 - Track,Value (Adjusted),1973,2815.681824
Vinyl Single,Value,1973,190.0
Vinyl Single,Value (Adjusted),1973,1094.027703
LP/EP,Value (Adjusted),1973,7174.518514
Other Tapes,Units,1973,2.2
LP/EP,Units,1973,280.0
Vinyl Single,Units,1973,228.0
8 - Track,Units,1973,91.0
Cassette,Value,1974,87.2
Cassette,Value (Adjusted),1974,452.196559838
Cassette,Units,1974,15.3
8 - Track,Value,1974,549.2
8 - Track,Value (Adjusted),1974,2848.008609
Vinyl Single,Value,1974,194.0
Other Tapes,Value,1974,13.3
LP/EP,Value,1974,1356.0
Other Tapes,Value (Adjusted),1974,68.970346856
Other Tapes,Units,1974,1.9
Vinyl Single,Value (Adjusted),1974,1006.033631
LP/EP,Value (Adjusted),1974,7031.863935
8 - Track,Units,1974,96.7
Vinyl Single,Units,1974,204.0
LP/EP,Units,1974,276.0
LP/EP,Units,1975,257.0
Other Tapes,Value,1975,10.2
Vinyl Single,Units,1975,164.0
Cassette,Value,1975,98.8
Cassette,Value (Adjusted),1975,469.496498141
8 - Track,Units,1975,94.6
8 - Track,Value,1975,583.0
Cassette,Units,1975,16.2
Other Tapes,Value (Adjusted),1975,48.470286245
LP/EP,Value,1975,1485.0
LP/EP,Value (Adjusted),1975,7056.703439
Vinyl Single,Value (Adjusted),1975,1005.045641
Vinyl Single,Value,1975,211.5
8 - Track,Value (Adjusted),1975,2770.409498
Other Tapes,Units,1975,1.5
8 - Track,Value (Adjusted),1976,3047.215772
Other Tapes,Units,1976,0.7
Vinyl Single,Value,1976,245.1
Vinyl Single,Value (Adjusted),1976,1101.25713
LP/EP,Value (Adjusted),1976,7472.013902
LP/EP,Value,1976,1663.0
Other Tapes,Value (Adjusted),1976,22.914775044
Cassette,Units,1976,21.8
8 - Track,Value,1976,678.2
8 - Track,Units,1976,106.1
Cassette,Value,1976,145.7
Cassette,Value (Adjusted),1976,654.643671353
LP/EP,Units,1976,273.0
Other Tapes,Value,1976,5.1
Vinyl Single,Units,1976,190.0
Vinyl Single,Value (Adjusted),1977,1034.018658
LP/EP,Value,1977,2195.1
LP/EP,Value (Adjusted),1977,9260.605292
Other Tapes,Units,1977,0.0
8 - Track,Value (Adjusted),1977,3421.416287
Vinyl Single,Value,1977,245.1
LP/EP,Units,1977,344.0
Cassette,Units,1977,36.9
Vinyl Single,Units,1977,190.0
Cassette,Value,1977,249.6
Cassette,Value (Adjusted),1977,1053.003089
8 - Track,Units,1977,127.3
8 - Track,Value,1977,811.0
8 - Track,Units,1978,133.6
8 - Track,Value,1978,948.0
LP/EP,Units,1978,341.3
Cassette,Value (Adjusted),1978,1763.71961
Cassette,Value,1978,449.8
Vinyl Single,Units,1978,190.0
Cassette,Units,1978,61.3
Vinyl Single,Value,1978,260.3
8 - Track,Value (Adjusted),1978,3717.221411
Other Tapes,Units,1978,0.0
LP/EP,Value (Adjusted),1978,9698.105186
LP/EP,Value,1978,2473.3
Vinyl Single,Value (Adjusted),1978,1020.66744
Cassette,Value (Adjusted),1979,2044.551711
Vinyl Single,Value (Adjusted),1979,1245.183405
LP/EP,Value,1979,2057.0
Cassette,Value,1979,580.6
Cassette,Units,1979,78.5
8 - Track,Value,1979,684.3
Vinyl Single,Units,1979,212.0
LP/EP,Units,1979,290.0
Other Tapes,Units,1979,0.0
8 - Track,Value (Adjusted),1979,2409.72569
LP/EP,Value (Adjusted),1979,7243.615
Vinyl Single,Value,1979,353.6
8 - Track,Units,1979,102.3
Vinyl Single,Units,1980,157.0
Cassette,Units,1980,99.0
8 - Track,Value (Adjusted),1980,1635.087852
Other Tapes,Units,1980,0.0
LP/EP,Units,1980,308.0
8 - Track,Units,1980,85.0
Vinyl Single,Value,1980,250.0
LP/EP,Value (Adjusted),1980,6825.793689
8 - Track,Value,1980,527.0
Cassette,Value,1980,705.0
Cassette,Value (Adjusted),1980,2187.356614
LP/EP,Value,1980,2200.0
Vinyl Single,Value (Adjusted),1980,775.6583737859999
8 - Track,Units,1981,50.0
Vinyl Single,Units,1981,154.7
Cassette,Units,1981,124.0
8 - Track,Value,1981,313.0
Cassette,Value,1981,1062.8
LP/EP,Value,1981,2341.7
Vinyl Single,Value (Adjusted),1981,721.127115512
LP/EP,Units,1981,295.2
Cassette,Value (Adjusted),1981,2989.133769
8 - Track,Value (Adjusted),1981,880.315082508
LP/EP,Value (Adjusted),1981,6586.050571
Vinyl Single,Value,1981,256.4
Other Tapes,Units,1981,0.0
Vinyl Single,Value,1982,283.0
8 - Track,Value (Adjusted),1982,95.374632124
LP/EP,Value (Adjusted),1982,5100.158453
Other Tapes,Units,1982,0.0
8 - Track,Units,1982,13.7
Cassette,Value,1982,1384.5
Cassette,Value (Adjusted),1982,3667.949394
Vinyl Single,Value (Adjusted),1982,749.750580311
LP/EP,Value,1982,1925.1
LP/EP,Units,1982,243.9
8 - Track,Value,1982,36.0
Vinyl Single,Units,1982,137.2
Cassette,Units,1982,183.2
Vinyl Single,Value (Adjusted),1983,691.249298193
Cassette,Units,1983,236.8
Cassette,Value (Adjusted),1983,4648.285756
Cassette,Value,1983,1810.9
Vinyl Single,Units,1983,124.8
LP/EP,Units,1983,209.6
LP/EP,Value,1983,1689.0
CD,Units,1983,0.8
CD,Value (Adjusted),1983,44.14960241
8 - Track,Units,1983,0.0
Other Tapes,Units,1983,0.0
LP/EP,Value (Adjusted),1983,4335.388283
Vinyl Single,Value,1983,269.3
CD,Value,1983,17.2
LP/EP,Units,1984,204.6
LP/EP,Value,1984,1548.8
CD,Units,1984,5.8
Vinyl Single,Value (Adjusted),1984,734.9831174209999
Cassette,Units,1984,332.0
Cassette,Value,1984,2383.9
Vinyl Single,Units,1984,131.5
Cassette,Value (Adjusted),1984,5865.839483
Other Tapes,Units,1984,0.0
LP/EP,Value (Adjusted),1984,3810.987118
Vinyl Single,Value,1984,298.7
CD,Value,1984,103.3
CD,Value (Adjusted),1984,254.180636189
8 - Track,Units,1984,0.0
LP/EP,Value (Adjusted),1985,3042.46086
CD,Value,1985,389.5
Cassette,Units,1985,339.1
Other Tapes,Units,1985,0.0
Vinyl Single,Value,1985,281.0
CD,Value (Adjusted),1985,925.449828067
Cassette,Value (Adjusted),1985,5729.710553
Cassette,Value,1985,2411.5
Vinyl Single,Units,1985,120.7
8 - Track,Units,1985,0.0
LP/EP,Units,1985,167.0
LP/EP,Value,1985,1280.5
Vinyl Single,Value (Adjusted),1985,667.654433086
CD,Units,1985,22.6
Cassette,Units,1986,344.5
Vinyl Single,Value,1986,228.1
Vinyl Single,Units,1986,93.9
8 - Track,Units,1986,0.0
CD,Value,1986,930.1
LP/EP,Value (Adjusted),1986,2292.982035
LP/EP,Units,1986,125.2
CD,Units,1986,53.0
Cassette,Value,1986,2499.5
Other Tapes,Units,1986,0.0
Vinyl Single,Value (Adjusted),1986,532.074468066
CD,Value (Adjusted),1986,2169.585545
LP/EP,Value,1986,983.0
Cassette,Value (Adjusted),1986,5830.425835
8 - Track,Units,1987,0.0
Cassette Single,Value (Adjusted),1987,32.182175176
